bath,bed,garden,mq,name,parking,pool,price,province,region,town,town2,type,url
5,5,,300,"Grosseto, Tuscany",1,,950000,Grosseto,Tuscany,"Castiglione della Pescaia, Grosseto, Toskana, Italien",,Agriturismo,https://www.italianhousesforsale.com/property-in-italy/beautiful-agriturismo-with-fantastic-views/
4,3,,1000,"Siena, Tuscany",1,1,15000000,Siena,Tuscany,"Montalcino, Siena, Toskana, Italien",,Farmhouse/Rustico,https://www.italianhousesforsale.com/property-in-italy/beautiful-property-in-one-of-the-worlds-finest-wine-regions/
4,8,,,"Castiglione Messer Raimondo, Teramo, Abruzzo",,,392000,Teramo,Abruzzo,,Castiglione Messer Raimondo,Villa,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-abruzzo-teramo-castiglione-messer-raimondo-el1110/
2,2,,,"Marone, Brescia, Lombardia",,,440000,Brescia,Lombardia,,Marone,Beds:,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-marone-93625_374749_is-54/
1,2,,55,"Grosseto, Tuscany",,,240000,Grosseto,Tuscany,"Grosseto, Toskana, Italien",,Apartament,https://www.italianhousesforsale.com/property-in-italy/well-maintained-apartment-with-sea-view/
3,5,,,"Montegabbione, Terni, Umbria",,,590000,Terni,Umbria,,Montegabbione,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-montegabbione-terni-umbria-ge9643/
2,2,,,"Foligno, Perugia, Umbria",,,189000,Perugia,Umbria,,Foligno,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-foligno-perugia-umbria-ge9761/
1,3,,150,"Alessandria della Rocca, Agrigento, Sicily",,,69000,Agrigento,Sicily,"Via Roma, Alessandria della Rocca, Agrigento, Sicilia, 92010, Italia",Alessandria della Rocca,Apartament,https://www.italianhousesforsale.com/property-in-italy/apt-in-sicily-apt-troja-alessandria/
2,2,,,"Desenzano del Garda, Brescia,",,,730000,Brescia,,,Desenzano del Garda,Beds:,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-desenzano-del-garda-lombardei-93625_345727_dv-314/
3,6,,350,"Ancona, Ancona, Le Marche",1,,160000,Ancona,Le Marche,"Morro d'Alba, Ancona, Italia",Ancona,Farmhouse/Rustico,https://www.italianhousesforsale.com/property-in-italy/casale-con-annessi/
5,7,,590,"Perugia, Perugia, Umbria",1,,690000,Perugia,Umbria,"Collestrada, Perugia, Umbria, 06135, Italia",Perugia,Villa,https://www.italianhousesforsale.com/property-in-italy/elegant-design-villa-with-private-park-in-a1-energetic-class/
5,8,,479,"Sciacca, Agrigento, Sicily",,,4000000,Agrigento,Sicily,"Sciacca, Agrigento, Sicilia, 92019, Italia",Sciacca,Villa,https://www.italianhousesforsale.com/property-in-italy/panoramic-seaside-villa-in-sicily-villa-cascio-sciacca-ag/
1,1,,45,"AlessandriadellaRocca, Sicily",,,90000,Alessandria della Rocca,Sicily,"Alessandria della Rocca, Agrigento, Sicilia, 92010, Italia",,Land,https://www.italianhousesforsale.com/property-in-italy/land-in-sicily-triolo-alessandria/
3,4,,152,"Bivona, Agrigento, Sicily",,,61000,Agrigento,Sicily,"Bivona, Agrigento, Sicilia, 92010, Italia",Bivona,Town House,https://www.italianhousesforsale.com/property-in-italy/townhouse-in-sicily-casa-cardinale-bivona/
5,5,,577,"Loro Ciuffenna, Arezzo, Tuscany",,,1000000,Arezzo,Tuscany,,Loro Ciuffenna,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-arezzo-toscana-arz2859/
8,4,,1338,"Passignano sul Trasimeno, Perugia, Umbria",,,2200000,Perugia,Umbria,,Passignano sul Trasimeno,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-perugia-umbria-pas2772/
16,14,,2890,"Passignano sul Trasimeno, Perugia, Umbria",,,1600000,Perugia,Umbria,,Passignano sul Trasimeno,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-perugia-umbria-pas2382/
2,3,,,"Massa-Carrara, Tuscany",,,150000,Massa-Carrara,Tuscany,,,Villa,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-casola-in-lunigiana-toscana-italy-lapernice1756larch/
1,6,,600,"Radicofani, Siena, Tuscany",,,650000,Siena,Tuscany,,Radicofani,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-val3310/
3,2,,200,"Castiglione del Lago, Perugia, Umbria",,,870000,Perugia,Umbria,,Castiglione del Lago,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-perugia-umbria-cdl3296/
9,11,,644,"Marsciano, Perugia, Umbria",,,990000,Perugia,Umbria,,Marsciano,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-perugia-umbria-per2999/
2,2,,105,"Cortona, Arezzo, Tuscany",,,360000,Arezzo,Tuscany,,Cortona,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-arezzo-toscana-cor2919/
7,9,,817,"Loro Ciuffenna, Arezzo, Tuscany",,,1650000,Arezzo,Tuscany,,Loro Ciuffenna,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-arezzo-toscana-arz2905/
2,3,,200,"Cortona, Arezzo, Tuscany",,,600000,Arezzo,Tuscany,,Cortona,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-arezzo-toscana-cor2894/
1,1,,60,"Radicofani, Siena, Tuscany",,,420000,Siena,Tuscany,,Radicofani,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-val3320/
2,3,,148,"San Casciano dei Bagni, Siena, Tuscany",,,520000,Siena,Tuscany,,San Casciano dei Bagni,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-san3273/
2,3,,366,"Città della Pieve, Perugia, Umbria",,,590000,Perugia,Umbria,,Città della Pieve,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-perugia-umbria-cdp3326/
4,7,,,"Montepulciano, Siena, Tuscany",,,1050000,Siena,Tuscany,,Montepulciano,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-montepulciano-siena-tuscany-ge9806/
4,4,,171,"Casole d'Elsa, Siena, Tuscany",1,1,390000,Siena,Tuscany,"Casole d'Elsa, Siena, Toscana, 53031, Italia",Casole d'Elsa,Apartament,https://www.italianhousesforsale.com/property-in-italy/a-peaceful-retreat-in-the-heart-of-tuscany/
1,,,60,"Termini Imerese, Palermo, Sicily",,,60000,Palermo,Sicily,,Termini Imerese,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-termini-imerese-sicilia-italy-plot-con-casa-termini-imerese-pis/
3,2,,263,"Firenze, Tuscany",1,,890000,Firenze,Tuscany,"Impruneta, Firenze, Toscana, 50023, Italia",,Apartament,https://www.italianhousesforsale.com/property-in-italy/elegant-representative-residence-in-a-villa-near-florence-2/
7,13,,750,"Cagli, PesaroEUrbino, Le Marche",1,1,1350000,Pesaro E Urbino,Le Marche,"Cagli, Pesaro e Urbino, Marche, Italia",Cagli,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/typical-farmhouse-with-barn-in-the-hills-of-cagli/
5,5,,,"Lucca, Tuscany, Tuscany",,1,2500000,Tuscany,Tuscany,,Lucca,Villa,https://www.italianhousesforsale.com/property-in-italy/residential-for-sale-tuscany-lucca-v62130-x/
2,3,,135,"Gubbio, Perugia, Umbria",1,1,345000,Perugia,Umbria,"Gubbio, Perugia, Umbria, 06024, Italia",Gubbio,Portion of House,https://www.italianhousesforsale.com/property-in-italy/beautiful-portion-of-an-ancient-farmhouse-in-a-complex-with-swimming-pool-and-tennis-court/
6,5,,970,"Bastia Umbra, Perugia, Umbria",1,1,1385000,Perugia,Umbria,"Bastia Umbra, Perugia, Umbria, 06083, Italia",Bastia Umbra,Villa,https://www.italianhousesforsale.com/property-in-italy/modern-villa-with-swimming-pool-and-private-park/
14,12,,,"Roccastrada, Grosseto, Tuscany",,,,Grosseto,Tuscany,,Roccastrada,Price on application,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-roccastrada-grosseto-tuscany-ge9809/
2,2,,,"Desenzano del Garda, Brescia, Lombardia",,,1350000,Brescia,Lombardia,,Desenzano del Garda,Beds:,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-desenzano-del-garda-gardasee-93625_374353_dv-520/
2,2,,,"Desenzano del Garda, Brescia, Lombardia",,,1450000,Brescia,Lombardia,,Desenzano del Garda,Beds:,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-desenzano-del-garda-gardasee-93625_374365_dv-521/
2,4,,,"Toscolano Maderno, Brescia, Lombardia",,,2500000,Brescia,Lombardia,,Toscolano Maderno,Villa,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-toscolano-maderno-gardasee-93625_374473_lv-1339/
7,11,,932,"Lucca, Tuscany",1,1,2950000,Lucca,Tuscany,"Camporgiano, Unione Comuni Garfagnana, Lucca, Toskana, 55031, Italien",,Agriturismo,https://www.italianhousesforsale.com/property-in-italy/unique-agriturismo-with-restaurant-and-8-hectares-of-land/
4,4,,500,"Montecastrilli, Terni, Umbria",1,,440000,Terni,Umbria,"Montecastrilli, Terni, Umbria, 05026, Italia",Montecastrilli,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/farmhouse-dedicated-to-wellness-with-open-views-of-the-countryside/
2,2,,203,"Siena, Tuscany",1,,326000,Siena,Tuscany,"Montalcino, Siena, Toskana, Italien",,Farmhouse/Rustico,https://www.italianhousesforsale.com/property-in-italy/well-maintained-rustico-in-a-beautiful-location/
2,4,,,"Toscolano Maderno, Brescia, Lombardia",,,2500000,Brescia,Lombardia,,Toscolano Maderno,Villa,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-toscolano-maderno-gardasee-93625_362223_lv-1210/
1,1,,,"Parzanica, Bergamo, Lombardia",,,358000,Bergamo,Lombardia,,Parzanica,Bed:,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-parzanica-lombardei-93625_374193_is-53/
2,2,,,"Desenzano del Garda, Brescia, Lombardia",,,1590000,Brescia,Lombardia,,Desenzano del Garda,Beds:,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-desenzano-del-garda-gardasee-93625_374293_dv-518/
1,1,,,"Pisa, Tuscany",,,100000,Pisa,Tuscany,,,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-chianni-toscana-italy-casacastellinese2016larch/
5,6,,400,"Perugia, Umbria",1,1,1700000,Perugia,Umbria,"Città della Pieve, Perugia, Umbria, 06062, Italia",,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/beautiful-farmhouse-with-swimming-pool-in-a-panoramic-location/
5,6,,510,"Amelia, Terni, Umbria",1,1,850000,Terni,Umbria,"Amelia, Terni, Umbria, 05022, Italia",Amelia,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/cozy-late-19th-century-farmhouse-with-annex-and-swimming-pool-surrounded-by-nature/
2,5,,220,"Lucca, Tuscany",1,1,850000,Lucca,Tuscany,"Capannori, Lucca, Toskana, Italien",,Villa,https://www.italianhousesforsale.com/property-in-italy/historic-art-nouveau-villa-with-swimming-pool/
4,2,,190,"Terni, Umbria",,,230000,Terni,Umbria,"Amelia, Terni, Umbria, 05022, Italy",,House,https://www.italianhousesforsale.com/property-in-italy/umbria-amelia-tr-sky-earth-surrounded-by-greenery/
11,9,,600,"Livorno, Tuscany",1,1,1750000,Livorno,Tuscany,"Bibbona, Livorno, Toskana, Italien",,Agriturismo,https://www.italianhousesforsale.com/property-in-italy/fantastic-agriturismo-in-a-unique-location/
1,2,,,"Pisa, Tuscany",,,150000,Pisa,Tuscany,,,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-chianni-toscana-italy-illampone2452larch/
2,3,,,"Pisa, Tuscany",,,335000,Pisa,Tuscany,,,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-chianni-toscana-italy-ilbelpaese2447larch/
2,2,,,"Massa-Carrara, Tuscany",,,280000,Massa-Carrara,Tuscany,,,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-podenzana-toscana-italy-arcata2395larch/
4,4,,250,"Livorno, Tuscany",1,1,1300000,Livorno,Tuscany,"Rosignano Marittimo, Livorno, Toskana, Italien",,Villa,https://www.italianhousesforsale.com/property-in-italy/beautiful-villa-with-unique-panoramic-views/
2,3,,,"Pisa, Tuscany",,,125000,Pisa,Tuscany,,,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-castelnuovo-di-val-di-cecina-toscana-italy-casaorlando2454larch/
2,2,,150,"Ancona, Le Marche",,,198000,Ancona,Le Marche,"Piazza D. Manin, Fabriano",,Apartament,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-fabriano-ancona-marche-cbi160-2598-126/
10,10,,1120,"Terni Città, Terni, Umbria",,,,Terni,Umbria,"Terni, Umbria, Italia",Terni Città,Villa,https://www.italianhousesforsale.com/property-in-italy/luxury-villa-completely-renovated-with-terrace-and-exclusive-view-of-the-waterfall/
6,7,,,"Castiglione d'Orcia, Tuscany, Tuscany",,,2600000,Tuscany,Tuscany,,Castiglione d'Orcia,Country House,https://www.italianhousesforsale.com/property-in-italy/residential-for-sale-tuscany-castiglione-dorcia-v620825-x/
5,4,,545,"Castiglione d'Orcia, Siena, Tuscany",,,750000,Siena,Tuscany,,Castiglione d'Orcia,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-gro3240/
2,2,,120,"Montepulciano, Siena, Tuscany",,,160000,Siena,Tuscany,,Montepulciano,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-mtp2886/
2,3,,380,"Sarteano, Siena, Tuscany",,,490000,Siena,Tuscany,,Sarteano,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-sar2138/
18,18,,1000,"Arezzo, Tuscany",1,1,2500000,Arezzo,Tuscany,"Cortona, Arezzo, Toskana, Italien",,Agriturismo,https://www.italianhousesforsale.com/property-in-italy/renovated-property-in-a-strategic-location/
3,5,,250,"Cortona, Arezzo, Tuscany",1,1,425000,Arezzo,Tuscany,"Cortona, Arezzo, Toscana, Italia",Cortona,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/charming-stone-farmhouse-with-swimming-pool-on-the-border-between-tuscany-and-umbria/
10,10,,500,"Grosseto, Tuscany",1,1,750000,Grosseto,Tuscany,"Massa Marittima, Grosseto, Toskana, 58024, Italien",,Agriturismo,https://www.italianhousesforsale.com/property-in-italy/fantastic-property-near-the-sea/
3,3,,330,"Servigliano, Fermo, Le Marche",1,,390000,Fermo,Le Marche,Contrada Mulino 19,Servigliano,End Terrace House,https://www.italianhousesforsale.com/property-in-italy/lion-house-2/
1,2,,80,"Arezzo, Tuscany",,,195000,Arezzo,Tuscany,"Montevarchi, Arezzo, Toskana, Italien",,Apartament,https://www.italianhousesforsale.com/property-in-italy/bright-apartment-in-the-center-of-montevarchi/
3,3,,240,"Assisi, Perugia, Umbria",,,1190000,Perugia,Umbria,"Assisi, Perugia, Umbria, 06081, Italia",Assisi,Apartament,https://www.italianhousesforsale.com/property-in-italy/noble-apartment-with-neoclassical-frescoes-in-the-heart-of-assisi/
,,,,"Cremia, Como, Lombardia",,,119000,Como,Lombardia,,Cremia,RESTHOF,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-cremia-lombardei-93625_374341_co-141/
3,3,,,"Sirmione, Brescia, Lombardy",,,890000,Brescia,Lombardy,,Sirmione,Villa,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-sirmione-sirmione-93625_374401_sv-6464/
7,6,,1162,"Perugia, Perugia, Umbria",1,,2800000,Perugia,Umbria,"Perugia, Umbria, Italia",Perugia,Villa,https://www.italianhousesforsale.com/property-in-italy/majestic-noble-historic-villa-in-monte-tezio/
3,3,,300,"Pomarance, Pisa, Tuscany",,,345000,Pisa,Tuscany,Pomarance,Pomarance,House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-pomarance-3-bedrooms-house-independent-tuscany-for-sale-a7631rv2493595a/
1,1,,49,"Monte Argentario, Grosseto, Tuscany",,,350000,Grosseto,Tuscany,Monte Argentario,Monte Argentario,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-monte-argentario-1-bedroom-flat-tuscany-for-sale-a1190ra90105/
3,2,,146,"Città della Pieve, Perugia, Umbria",,,220000,Perugia,Umbria,,Città della Pieve,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-perugia-umbria-cdp1213/
10,9,,503,"Pienza, Siena, Tuscany",,,1490000,Siena,Tuscany,,Pienza,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-pnz3025/
2,2,,160,"San Vincenzo, Livorno, Tuscany",,,455000,Livorno,Tuscany,San Vincenzo,San Vincenzo,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-san-vincenzo-2-bedrooms-flat-tuscany-for-sale-a3165ra2476252a/
1,1,,100,"Pescia, Pistoia, Tuscany",,,269000,Pistoia,Tuscany,Pescia,Pescia,Villa,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-pescia-1-bedroom-villa-tuscany-for-sale-a6551rv2493208a/
4,4,,350,"Sarteano, Siena, Tuscany",,,1000000,Siena,Tuscany,Sarteano,Sarteano,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-sarteano-4-bedrooms-farmhouse-tuscany-for-sale-a1190rc99719/
1,1,,61,"Capoliveri, Livorno, Tuscany",,,270000,Livorno,Tuscany,Capoliveri,Capoliveri,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-capoliveri-1-bedroom-flat-tuscany-for-sale-a9591is001/
3,3,,295,"Cecina, Livorno, Tuscany",,,568000,Livorno,Tuscany,Cecina,Cecina,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-cecina-3-bedrooms-farmhouse-tuscany-for-sale-a9591mf112/
1,2,,91,"Catania, Catania, Sicily",,,170000,Catania,Sicily,,Catania,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-catania-sicilia-italy-app-principe-nicola-catania-pis/
1,,,36,"Palermo, Palermo, Sicily",,,120000,Palermo,Sicily,,Palermo,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-palermo-sicilia-italy-appartamento-porto-palermo-pis/
1,3,,,"Montepulciano, Siena, Tuscany",,,650000,Siena,Tuscany,,Montepulciano,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-montepulciano-siena-tuscany-ge9766/
0,0,,,"Montalcino, Siena, Tuscany",,,2000000,Siena,Tuscany,,Montalcino,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-montalcino-siena-tuscany-ge9793/
1,2,,,"Castiglione Messer Raimondo, Teramo, Abruzzo",,,85000,Teramo,Abruzzo,,Castiglione Messer Raimondo,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-abruzzo-teramo-castiglione-messer-raimondo-el1109/
1,1,,62,"Noto, Siracusa, Sicily",,,180000,Siracusa,Sicily,,Noto,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-noto-sicilia-italy-villetta-arcobaleno-noto-pis/
